Real distance: 0.1981, model distance: 0.2510, diff: 0.0529
Real distance: 0.3976, model distance: 0.3743, diff: 0.0233
Real distance: 0.3709, model distance: 0.3519, diff: 0.0190
Real distance: 0.1363, model distance: 0.1842, diff: 0.0479
Real distance: 0.0245, model distance: 0.0693, diff: 0.0448
Real distance: 0.4832, model distance: 0.4688, diff: 0.0144
Real distance: 0.1621, model distance: 0.2275, diff: 0.0654
Real distance: 0.3267, model distance: 0.3399, diff: 0.0132
Real distance: 0.0680, model distance: 0.1140, diff: 0.0460
Real distance: 0.1614, model distance: 0.1548, diff: 0.0066
Real distance: 0.0357, model distance: 0.0873, diff: 0.0516
Real distance: 0.3969, model distance: 0.3979, diff: 0.0010
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.1232, model distance: 0.1652, diff: 0.0420
Real distance: 0.2088, model distance: 0.2266, diff: 0.0178
Real distance: 0.5791, model distance: 0.5693, diff: 0.0098
Real distance: 0.0202, model distance: 0.0782, diff: 0.0580
Real distance: 0.0096, model distance: 0.0393, diff: 0.0297
Real distance: 0.0633, model distance: 0.1489, diff: 0.0855
Real distance: 0.0129, model distance: 0.0375, diff: 0.0246
Real distance: 0.2566, model distance: 0.2519, diff: 0.0047
Real distance: 0.0119, model distance: 0.0241, diff: 0.0122
Real distance: 0.3626, model distance: 0.3958, diff: 0.0332
Real distance: 0.5300, model distance: 0.5157, diff: 0.0143
Real distance: 0.2913, model distance: 0.2811, diff: 0.0102
Real distance: 0.1625, model distance: 0.2121, diff: 0.0496
Real distance: 0.6050, model distance: 0.5741, diff: 0.0310
Real distance: 0.1962, model distance: 0.2359, diff: 0.0397
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0757, model distance: 0.1222, diff: 0.0465
Real distance: 0.1614, model distance: 0.1791, diff: 0.0178
Real distance: 0.3540, model distance: 0.3480, diff: 0.0061
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0182, model distance: 0.0530, diff: 0.0348
Real distance: 0.3279, model distance: 0.2972, diff: 0.0306
Real distance: 0.0136, model distance: 0.0601, diff: 0.0466
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.4953, model distance: 0.4736, diff: 0.0217
Real distance: 0.0405, model distance: 0.0972, diff: 0.0566
Real distance: 0.0832, model distance: 0.1270, diff: 0.0439
Real distance: 0.5445, model distance: 0.5431, diff: 0.0014
Real distance: 0.6313, model distance: 0.6321, diff: 0.0007
Real distance: 0.0478, model distance: 0.0727, diff: 0.0249
Real distance: 0.3393, model distance: 0.3199, diff: 0.0194
Real distance: 0.2279, model distance: 0.2266, diff: 0.0012
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.1170, model distance: 0.1424, diff: 0.0254
Real distance: 0.0112, model distance: 0.0118, diff: 0.0006
Real distance: 0.6459, model distance: 0.6723, diff: 0.0264
Real distance: 0.0063, model distance: 0.0071, diff: 0.0008
Real distance: 0.0164, model distance: 0.0643, diff: 0.0479
Real distance: 0.0506, model distance: 0.1014, diff: 0.0508
Real distance: 0.4127, model distance: 0.4022, diff: 0.0105
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0130, model distance: 0.0312, diff: 0.0181
Real distance: 0.0043, model distance: 0.0263, diff: 0.0220
Real distance: 0.0094, model distance: 0.0285, diff: 0.0191
Real distance: 0.0435, model distance: 0.0808, diff: 0.0373
Real distance: 0.4290, model distance: 0.4522, diff: 0.0232
Real distance: 0.0323, model distance: 0.0638, diff: 0.0315
Real distance: 0.1498, model distance: 0.1970, diff: 0.0472
Real distance: 0.2738, model distance: 0.3024, diff: 0.0285
Real distance: 0.0067, model distance: 0.0060, diff: 0.0007
Real distance: 0.1765, model distance: 0.2267, diff: 0.0502
Real distance: 0.1056, model distance: 0.1475, diff: 0.0420
Real distance: 0.5589, model distance: 0.5191, diff: 0.0398
Real distance: 0.3865, model distance: 0.3482, diff: 0.0383
Real distance: 0.5449, model distance: 0.5135, diff: 0.0314
Real distance: 0.3762, model distance: 0.3674, diff: 0.0088
Real distance: 0.0159, model distance: 0.0562, diff: 0.0403
Real distance: 0.0112, model distance: 0.0303, diff: 0.0191
Real distance: 0.2378, model distance: 0.2445, diff: 0.0067
Real distance: 0.1512, model distance: 0.1628, diff: 0.0115
Real distance: 0.3042, model distance: 0.3207, diff: 0.0164
Real distance: 0.0473, model distance: 0.0969, diff: 0.0496
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.2490, model distance: 0.2942, diff: 0.0453
Real distance: 0.0058, model distance: 0.0806, diff: 0.0747
